"id";"user_id";"date";"weight";"bodyfat";"created_at";"updated_at"
1;0;"2024-01-01";69.0;22.0;"2024-03-28 15:53:56";"2024-03-28 15:53:56"
2;1;"2024-02-26";93.3;23.7;"2024-03-28 16:00:26";"2024-03-28 16:00:26"
3;1;"2024-02-24";92.9;25.5;"2024-03-28 16:01:45";"2024-03-28 16:01:45"
4;1;"2024-02-28";92.1;23.2;"2024-03-28 16:03:22";"2024-03-28 16:03:22"
5;1;"2024-02-29";91.4;22.9;"2024-03-28 16:03:46";"2024-03-28 16:03:46"
6;1;"2024-03-01";91.4;23.0;"2024-03-28 16:04:09";"2024-03-28 16:04:09"
7;1;"2024-03-02";91.9;23.1;"2024-03-28 16:04:42";"2024-03-28 16:04:42"
8;1;"2024-03-03";91.6;23.0;"2024-03-28 16:05:05";"2024-03-28 16:05:05"
9;1;"2024-03-04";93.1;23.6;"2024-03-28 16:05:28";"2024-03-28 16:05:28"
10;1;"2024-03-05";92.9;23.5;"2024-03-28 16:05:57";"2024-03-28 16:05:57"
11;1;"2024-03-06";92.9;23.5;"2024-03-28 16:06:14";"2024-03-28 16:06:14"
12;1;"2024-03-09";92.0;23.2;"2024-03-28 16:06:29";"2024-03-28 16:06:29"
13;1;"2024-03-10";91.4;23.0;"2024-03-28 16:06:52";"2024-03-28 16:06:52"
14;1;"2024-03-11";91.1;22.8;"2024-03-28 16:07:13";"2024-03-28 16:07:13"
15;1;"2024-03-12";91.4;22.9;"2024-03-28 16:07:45";"2024-03-28 16:07:45"
16;1;"2024-03-13";90.9;22.7;"2024-03-28 16:08:08";"2024-03-28 16:08:08"
17;1;"2024-03-14";90.3;22.5;"2024-03-28 16:08:28";"2024-03-28 16:08:28"
18;1;"2024-03-15";89.8;22.2;"2024-03-28 16:09:01";"2024-03-28 16:09:01"
19;1;"2024-03-16";90.6;22.6;"2024-03-28 16:09:23";"2024-03-28 16:09:23"
20;1;"2024-03-18";91.1;22.8;"2024-03-28 16:09:43";"2024-03-28 16:09:43"
21;1;"2024-03-19";91.0;22.8;"2024-03-28 16:10:02";"2024-03-28 16:10:02"
22;1;"2024-03-20";90.0;22.3;"2024-03-28 16:10:22";"2024-03-28 16:10:22"
23;1;"2024-03-21";89.7;22.2;"2024-03-28 16:10:40";"2024-03-28 16:10:40"
24;1;"2024-03-22";89.9;22.3;"2024-03-28 16:11:02";"2024-03-28 16:11:02"
25;1;"2024-03-23";89.7;22.1;"2024-03-28 16:11:28";"2024-03-28 16:11:28"
26;1;"2024-03-24";90.0;22.3;"2024-03-28 16:11:46";"2024-03-28 16:11:46"
27;1;"2024-03-25";89.8;22.2;"2024-03-28 16:12:18";"2024-03-28 16:12:18"
28;1;"2024-03-28";89.0;21.9;"2024-03-28 16:12:40";"2024-03-28 16:12:40"
29;1;"2024-04-02";92.0;23.2;"2024-04-14 16:24:37";"2024-04-14 16:24:37"
30;1;"2024-04-03";91.4;23.0;"2024-04-14 16:24:50";"2024-04-14 16:24:50"
31;1;"2024-04-04";89.8;22.2;"2024-04-14 16:25:00";"2024-04-14 16:25:00"
32;1;"2024-04-06";90.3;22.5;"2024-04-14 16:25:13";"2024-04-14 16:25:13"
33;1;"2024-04-07";90.5;22.5;"2024-04-14 16:25:31";"2024-04-14 16:25:31"
34;1;"2024-04-08";90.3;22.5;"2024-04-14 16:25:42";"2024-04-14 16:25:42"
35;1;"2024-04-11";89.0;21.9;"2024-04-14 16:25:55";"2024-04-14 16:25:55"
36;1;"2024-04-12";89.3;22.0;"2024-04-14 16:26:12";"2024-04-14 16:26:12"
37;1;"2024-04-13";89.0;21.9;"2024-04-14 16:26:26";"2024-04-14 16:26:26"
38;1;"2024-04-14";88.3;21.6;"2024-04-14 16:26:44";"2024-04-14 16:26:44"
39;1;"2022-10-08";77.7;18.4;"2024-04-14 16:32:58";"2024-04-14 16:32:58"
48;1;"2024-04-15";88.5;21.6;"2024-04-25 11:01:52";"2024-04-25 11:01:52"
49;1;"2024-04-16";88.2;21.5;"2024-04-25 11:02:18";"2024-04-25 11:02:18"
50;1;"2024-04-17";87.6;21.3;"2024-04-25 11:02:35";"2024-04-25 11:02:35"
51;1;"2024-04-18";88.1;21.5;"2024-04-25 11:02:52";"2024-04-25 11:02:52"
52;1;"2024-04-19";88.1;21.5;"2024-04-25 11:03:06";"2024-04-25 11:03:06"
53;1;"2024-04-21";88.4;21.6;"2024-04-25 11:03:19";"2024-04-25 11:03:19"
54;1;"2024-04-22";88.3;21.5;"2024-04-25 11:03:30";"2024-04-25 11:03:30"
55;1;"2024-04-23";88.5;21.6;"2024-04-25 11:03:47";"2024-04-25 11:03:47"
56;1;"2024-04-24";87.9;21.4;"2024-04-25 11:04:02";"2024-04-25 11:04:02"
